"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"25 years"	"25"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	251	9168284	2.7
	"25 years"	"25"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	65	9168284	0.7
	"25 years"	"25"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	16	8747207	Unreliable
	"25 years"	"25"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	12	9168284	Unreliable
	"25 years"	"25"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	10	8747207	Unreliable
	"25 years"	"25"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	33	9168284	0.4
	"26 years"	"26"	"Transport accidents"	"V01-V99"	"Female"	"F"	822	8932296	9.2
	"26 years"	"26"	"Transport accidents"	"V01-V99"	"Male"	"M"	2505	9350502	26.8
	"26 years"	"26"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1805	8932296	20.2
	"26 years"	"26"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	4939	9350502	52.8
	"26 years"	"26"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	610	8932296	6.8
	"26 years"	"26"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2692	9350502	28.8
	"26 years"	"26"	"Assault"	"X85-Y09"	"Female"	"F"	376	8932296	4.2
	"26 years"	"26"	"Assault"	"X85-Y09"	"Male"	"M"	2296	9350502	24.6
	"26 years"	"26"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	114	8932296	1.3
	"26 years"	"26"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	293	9350502	3.1
	"26 years"	"26"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	83	9350502	0.9
	"26 years"	"26"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	19	8932296	Unreliable
	"26 years"	"26"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	14	9350502	Unreliable
	"26 years"	"26"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	10	8932296	Unreliable
	"26 years"	"26"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	48	9350502	0.5
	"27 years"	"27"	"Transport accidents"	"V01-V99"	"Female"	"F"	872	9132984	9.5
	"27 years"	"27"	"Transport accidents"	"V01-V99"	"Male"	"M"	2504	9524669	26.3
	"27 years"	"27"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1912	9132984	20.9
	"27 years"	"27"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5542	9524669	58.2
	"27 years"	"27"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	610	9132984	6.7
	"27 years"	"27"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2730	9524669	28.7
	"27 years"	"27"	"Assault"	"X85-Y09"	"Female"	"F"	448	9132984	4.9
	"27 years"	"27"	"Assault"	"X85-Y09"	"Male"	"M"	2410	9524669	25.3
	"27 years"	"27"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	140	9132984	1.5
	"27 years"	"27"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	278	9524669	2.9
	"27 years"	"27"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	83	9524669	0.9
	"27 years"	"27"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	14	9132984	Unreliable
	"27 years"	"27"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	22	9524669	0.2
	"27 years"	"27"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	51	9524669	0.5
	"28 years"	"28"	"Transport accidents"	"V01-V99"	"Female"	"F"	904	9292275	9.7
	"28 years"	"28"	"Transport accidents"	"V01-V99"	"Male"	"M"	2578	9633937	26.8
	"28 years"	"28"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2084	9292275	22.4
	"28 years"	"28"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5960	9633937	61.9
	"28 years"	"28"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	654	9292275	7.0
	"28 years"	"28"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2745	9633937	28.5
	"28 years"	"28"	"Assault"	"X85-Y09"	"Female"	"F"	400	9292275	4.3
	"28 years"	"28"	"Assault"	"X85-Y09"	"Male"	"M"	2371	9633937	24.6
	"28 years"	"28"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	108	9292275	1.2
	"28 years"	"28"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	296	9633937	3.1
	"28 years"	"28"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	90	9633937	0.9
	"28 years"	"28"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	19	9292275	Unreliable
	"28 years"	"28"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	15	9633937	Unreliable
	"28 years"	"28"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	12	9292275	Unreliable
	"28 years"	"28"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	46	9633937	0.5
	"29 years"	"29"	"Transport accidents"	"V01-V99"	"Female"	"F"	818	9312138	8.8
	"29 years"	"29"	"Transport accidents"	"V01-V99"	"Male"	"M"	2529	9600200	26.3
	"29 years"	"29"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2320	9312138	24.9
	"29 years"	"29"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6296	9600200	65.6
	"29 years"	"29"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	671	9312138	7.2
	"29 years"	"29"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2745	9600200	28.6
	"29 years"	"29"	"Assault"	"X85-Y09"	"Female"	"F"	403	9312138	4.3
	"29 years"	"29"	"Assault"	"X85-Y09"	"Male"	"M"	2285	9600200	23.8
	"29 years"	"29"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	144	9312138	1.5
	"29 years"	"29"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	321	9600200	3.3
	"29 years"	"29"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	77	9600200	0.8
	"29 years"	"29"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	15	9312138	Unreliable
	"29 years"	"29"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	17	9600200	Unreliable
	"29 years"	"29"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	18	9312138	Unreliable
	"29 years"	"29"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	53	9600200	0.6
	"30 years"	"30"	"Transport accidents"	"V01-V99"	"Female"	"F"	804	9207480	8.7
	"30 years"	"30"	"Transport accidents"	"V01-V99"	"Male"	"M"	2437	9460078	25.8
	"30 years"	"30"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2354	9207480	25.6
	"30 years"	"30"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6567	9460078	69.4
	"30 years"	"30"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	674	9207480	7.3
	"30 years"	"30"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2807	9460078	29.7
	"30 years"	"30"	"Assault"	"X85-Y09"	"Female"	"F"	417	9207480	4.5
	"30 years"	"30"	"Assault"	"X85-Y09"	"Male"	"M"	2189	9460078	23.1
	"30 years"	"30"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	145	9207480	1.6
	"30 years"	"30"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	348	9460078	3.7
	"30 years"	"30"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	73	9460078	0.8
	"30 years"	"30"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	21	9207480	0.2
	"30 years"	"30"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	23	9460078	0.2
	"30 years"	"30"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	16	9207480	Unreliable
	"30 years"	"30"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	43	9460078	0.5
	"31 years"	"31"	"Transport accidents"	"V01-V99"	"Female"	"F"	749	9032444	8.3
	"31 years"	"31"	"Transport accidents"	"V01-V99"	"Male"	"M"	2188	9264131	23.6
	"31 years"	"31"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2376	9032444	26.3
	"31 years"	"31"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6653	9264131	71.8
	"31 years"	"31"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	672	9032444	7.4
	"31 years"	"31"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2738	9264131	29.6
	"31 years"	"31"	"Assault"	"X85-Y09"	"Female"	"F"	378	9032444	4.2
	"31 years"	"31"	"Assault"	"X85-Y09"	"Male"	"M"	2090	9264131	22.6
	"31 years"	"31"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	143	9032444	1.6
	"31 years"	"31"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	356	9264131	3.8
	"31 years"	"31"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	94	9264131	1.0
	"31 years"	"31"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	17	9032444	Unreliable
	"31 years"	"31"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	19	9264131	Unreliable
	"31 years"	"31"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	62	9264131	0.7
	"32 years"	"32"	"Transport accidents"	"V01-V99"	"Female"	"F"	785	8880102	8.8
	"32 years"	"32"	"Transport accidents"	"V01-V99"	"Male"	"M"	2288	9102179	25.1
	"32 years"	"32"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2499	8880102	28.1
	"32 years"	"32"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6618	9102179	72.7
	"32 years"	"32"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	676	8880102	7.6
	"32 years"	"32"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2645	9102179	29.1
	"32 years"	"32"	"Assault"	"X85-Y09"	"Female"	"F"	355	8880102	4.0
	"32 years"	"32"	"Assault"	"X85-Y09"	"Male"	"M"	1855	9102179	20.4
	"32 years"	"32"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	146	8880102	1.6
	"32 years"	"32"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	350	9102179	3.8
	"32 years"	"32"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	94	9102179	1.0
	"32 years"	"32"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	34	8880102	0.4
	"32 years"	"32"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	28	9102179	0.3
	"32 years"	"32"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	13	8880102	Unreliable
	"32 years"	"32"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	53	9102179	0.6
	"33 years"	"33"	"Transport accidents"	"V01-V99"	"Female"	"F"	779	8830276	8.8
	"33 years"	"33"	"Transport accidents"	"V01-V99"	"Male"	"M"	2119	9028398	23.5
	"33 years"	"33"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2685	8830276	30.4
	"33 years"	"33"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6605	9028398	73.2
	"33 years"	"33"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	632	8830276	7.2
	"33 years"	"33"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2620	9028398	29.0
	"33 years"	"33"	"Assault"	"X85-Y09"	"Female"	"F"	364	8830276	4.1
	"33 years"	"33"	"Assault"	"X85-Y09"	"Male"	"M"	1774	9028398	19.6
	"33 years"	"33"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	173	8830276	2.0
	"33 years"	"33"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	344	9028398	3.8
	"33 years"	"33"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	93	9028398	1.0
	"33 years"	"33"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	32	8830276	0.4
	"33 years"	"33"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	18	9028398	Unreliable
	"33 years"	"33"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	19	8830276	Unreliable
	"33 years"	"33"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	60	9028398	0.7
	"34 years"	"34"	"Transport accidents"	"V01-V99"	"Female"	"F"	682	8768014	7.8
	"34 years"	"34"	"Transport accidents"	"V01-V99"	"Male"	"M"	2172	8935252	24.3
	"34 years"	"34"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2604	8768014	29.7
	"34 years"	"34"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6576	8935252	73.6
	"34 years"	"34"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	591	8768014	6.7
	"34 years"	"34"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2548	8935252	28.5
	"34 years"	"34"	"Assault"	"X85-Y09"	"Female"	"F"	371	8768014	4.2
	"34 years"	"34"	"Assault"	"X85-Y09"	"Male"	"M"	1668	8935252	18.7
	"34 years"	"34"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	161	8768014	1.8
	"34 years"	"34"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	328	8935252	3.7
	"34 years"	"34"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	93	8935252	1.0
	"34 years"	"34"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	34	8768014	0.4
	"34 years"	"34"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	33	8935252	0.4
	"34 years"	"34"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	17	8768014	Unreliable
	"34 years"	"34"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	71	8935252	0.8
	"35 years"	"35"	"Transport accidents"	"V01-V99"	"Female"	"F"	745	8762562	8.5
	"35 years"	"35"	"Transport accidents"	"V01-V99"	"Male"	"M"	2068	8889319	23.3
	"35 years"	"35"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2649	8762562	30.2
	"35 years"	"35"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6864	8889319	77.2
	"35 years"	"35"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	651	8762562	7.4
	"35 years"	"35"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2542	8889319	28.6
	"35 years"	"35"	"Assault"	"X85-Y09"	"Female"	"F"	328	8762562	3.7
	"35 years"	"35"	"Assault"	"X85-Y09"	"Male"	"M"	1586	8889319	17.8
	"35 years"	"35"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	157	8762562	1.8
	"35 years"	"35"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	321	8889319	3.6
	"35 years"	"35"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	83	8889319	0.9
	"35 years"	"35"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	28	8762562	0.3
	"35 years"	"35"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	30	8889319	0.3
	"35 years"	"35"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	16	8762562	Unreliable
	"35 years"	"35"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	64	8889319	0.7
	"36 years"	"36"	"Transport accidents"	"V01-V99"	"Female"	"F"	676	8733192	7.7
	"36 years"	"36"	"Transport accidents"	"V01-V99"	"Male"	"M"	1971	8815790	22.4
	"36 years"	"36"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2598	8733192	29.7
	"36 years"	"36"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6780	8815790	76.9
	"36 years"	"36"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	698	8733192	8.0
	"36 years"	"36"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2488	8815790	28.2
	"36 years"	"36"	"Assault"	"X85-Y09"	"Female"	"F"	341	8733192	3.9
	"36 years"	"36"	"Assault"	"X85-Y09"	"Male"	"M"	1516	8815790	17.2
	"36 years"	"36"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	159	8733192	1.8
	"36 years"	"36"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	365	8815790	4.1
	"36 years"	"36"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	70	8815790	0.8
	"36 years"	"36"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	33	8733192	0.4
	"36 years"	"36"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	40	8815790	0.5
	"36 years"	"36"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	11	8733192	Unreliable
	"36 years"	"36"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	77	8815790	0.9
	"37 years"	"37"	"Transport accidents"	"V01-V99"	"Female"	"F"	676	8699147	7.8
	"37 years"	"37"	"Transport accidents"	"V01-V99"	"Male"	"M"	2008	8746703	23.0
	"37 years"	"37"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2663	8699147	30.6
	"37 years"	"37"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6756	8746703	77.2
	"37 years"	"37"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	721	8699147	8.3
	"37 years"	"37"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2400	8746703	27.4
	"37 years"	"37"	"Assault"	"X85-Y09"	"Female"	"F"	366	8699147	4.2
	"37 years"	"37"	"Assault"	"X85-Y09"	"Male"	"M"	1451	8746703	16.6
	"37 years"	"37"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	165	8699147	1.9
	"37 years"	"37"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	331	8746703	3.8
	"37 years"	"37"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	76	8746703	0.9
	"37 years"	"37"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	27	8699147	0.3
	"37 years"	"37"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	37	8746703	0.4
	"37 years"	"37"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	23	8699147	0.3
	"37 years"	"37"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	73	8746703	0.8
	"38 years"	"38"	"Transport accidents"	"V01-V99"	"Female"	"F"	689	8740167	7.9
	"38 years"	"38"	"Transport accidents"	"V01-V99"	"Male"	"M"	2004	8782607	22.8
	"38 years"	"38"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2719	8740167	31.1
	"38 years"	"38"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6705	8782607	76.3
	"38 years"	"38"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	686	8740167	7.8
	"38 years"	"38"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2487	8782607	28.3
	"38 years"	"38"	"Assault"	"X85-Y09"	"Female"	"F"	321	8740167	3.7
	"38 years"	"38"	"Assault"	"X85-Y09"	"Male"	"M"	1439	8782607	16.4
	"38 years"	"38"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	181	8740167	2.1
	"38 years"	"38"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	356	8782607	4.1
	"38 years"	"38"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	69	8782607	0.8
	"38 years"	"38"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	29	8740167	0.3
	"38 years"	"38"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	30	8782607	0.3
	"38 years"	"38"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	25	8740167	0.3
	"38 years"	"38"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	57	8782607	0.6
	"39 years"	"39"	"Transport accidents"	"V01-V99"	"Female"	"F"	741	8617110	8.6
	"39 years"	"39"	"Transport accidents"	"V01-V99"	"Male"	"M"	1893	8642133	21.9
	"39 years"	"39"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2609	8617110	30.3
	"39 years"	"39"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6826	8642133	79.0
	"39 years"	"39"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	650	8617110	7.5
	"39 years"	"39"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2525	8642133	29.2
	"39 years"	"39"	"Assault"	"X85-Y09"	"Female"	"F"	319	8617110	3.7
	"39 years"	"39"	"Assault"	"X85-Y09"	"Male"	"M"	1399	8642133	16.2
	"39 years"	"39"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	156	8617110	1.8
	"39 years"	"39"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	336	8642133	3.9
	"39 years"	"39"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	65	8642133	0.8
	"39 years"	"39"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	43	8617110	0.5
	"39 years"	"39"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	42	8642133	0.5
	"39 years"	"39"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	17	8617110	Unreliable
	"39 years"	"39"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	78	8642133	0.9
	"40 years"	"40"	"Transport accidents"	"V01-V99"	"Female"	"F"	615	8447995	7.3
	"40 years"	"40"	"Transport accidents"	"V01-V99"	"Male"	"M"	1924	8459385	22.7
	"40 years"	"40"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2578	8447995	30.5
	"40 years"	"40"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6566	8459385	77.6
	"40 years"	"40"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	674	8447995	8.0
	"40 years"	"40"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2321	8459385	27.4
	"40 years"	"40"	"Assault"	"X85-Y09"	"Female"	"F"	288	8447995	3.4
	"40 years"	"40"	"Assault"	"X85-Y09"	"Male"	"M"	1257	8459385	14.9
	"40 years"	"40"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	167	8447995	2.0
	"40 years"	"40"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	330	8459385	3.9
	"40 years"	"40"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	74	8459385	0.9
	"40 years"	"40"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	40	8447995	0.5
	"40 years"	"40"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	40	8459385	0.5
	"40 years"	"40"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	19	8447995	Unreliable
	"40 years"	"40"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	72	8459385	0.9
	"41 years"	"41"	"Transport accidents"	"V01-V99"	"Female"	"F"	625	8254970	7.6
	"41 years"	"41"	"Transport accidents"	"V01-V99"	"Male"	"M"	1816	8224450	22.1
	"41 years"	"41"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2502	8254970	30.3
	"41 years"	"41"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	6169	8224450	75.0
	"41 years"	"41"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	627	8254970	7.6
	"41 years"	"41"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2293	8224450	27.9
	"41 years"	"41"	"Assault"	"X85-Y09"	"Female"	"F"	320	8254970	3.9
	"41 years"	"41"	"Assault"	"X85-Y09"	"Male"	"M"	1224	8224450	14.9
	"41 years"	"41"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	151	8254970	1.8
	"41 years"	"41"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	327	8224450	4.0
	"41 years"	"41"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	63	8224450	0.8
	"41 years"	"41"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	48	8254970	0.6
	"41 years"	"41"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	43	8224450	0.5
	"41 years"	"41"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	22	8254970	0.3
	"41 years"	"41"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	81	8224450	1.0
	"42 years"	"42"	"Transport accidents"	"V01-V99"	"Female"	"F"	603	8054709	7.5
	"42 years"	"42"	"Transport accidents"	"V01-V99"	"Male"	"M"	1722	7994136	21.5
	"42 years"	"42"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2366	8054709	29.4
	"42 years"	"42"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5745	7994136	71.9
	"42 years"	"42"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	650	8054709	8.1
	"42 years"	"42"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2184	7994136	27.3
	"42 years"	"42"	"Assault"	"X85-Y09"	"Female"	"F"	269	8054709	3.3
	"42 years"	"42"	"Assault"	"X85-Y09"	"Male"	"M"	1077	7994136	13.5
	"42 years"	"42"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	138	8054709	1.7
	"42 years"	"42"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	271	7994136	3.4
	"42 years"	"42"	"Legal intervention and operations of war"	"Y35-Y36"	"Male"	"M"	59	7994136	0.7
	"42 years"	"42"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	40	8054709	0.5
	"42 years"	"42"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	41	7994136	0.5
	"42 years"	"42"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Female"	"F"	19	8054709	Unreliable
	"42 years"	"42"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Male"	"M"	77	7994136	1.0
	"43 years"	"43"	"Transport accidents"	"V01-V99"	"Female"	"F"	574	7984369	7.2
	"43 years"	"43"	"Transport accidents"	"V01-V99"	"Male"	"M"	1644	7916092	20.8
	"43 years"	"43"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	2210	7984369	27.7
	"43 years"	"43"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	5583	7916092	70.5
	"43 years"	"43"	"Intentional self-harm"	"X60-X84"	"Female"	"F"	657	7984369	8.2
	"43 years"	"43"	"Intentional self-harm"	"X60-X84"	"Male"	"M"	2154	7916092	27.2
	"43 years"	"43"	"Assault"	"X85-Y09"	"Female"	"F"	265	7984369	3.3
	"43 years"	"43"	"Assault"	"X85-Y09"	"Male"	"M"	1022	7916092	12.9
