"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"20 years"	"20"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	285	17234756	1.7
	"20 years"	"20"	"Mental and behavioural disorders"	"F01-F99"	61	17234756	0.4
	"20 years"	"20"	"Diseases of the nervous system"	"G00-G98"	380	17234756	2.2
	"20 years"	"20"	"Diseases of the circulatory system"	"I00-I99"	476	17234756	2.8
	"20 years"	"20"	"Diseases of the respiratory system"	"J00-J98"	246	17234756	1.4
	"20 years"	"20"	"Diseases of the digestive system"	"K00-K92"	89	17234756	0.5
	"20 years"	"20"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	45	17234756	0.3
	"20 years"	"20"	"Diseases of the genitourinary system"	"N00-N98"	38	17234756	0.2
	"20 years"	"20"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	70	17234756	0.4
	"20 years"	"20"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	164	17234756	1.0
	"20 years"	"20"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	253	17234756	1.5
	"20 years"	"20"	"Codes for special purposes"	"U00-U99"	189	17234756	1.1
	"20 years"	"20"	"External causes of morbidity and mortality"	"V01-Y89"	11809	17234756	68.5
	"21 years"	"21"	"Certain infectious and parasitic diseases"	"A00-B99"	118	17201365	0.7
	"21 years"	"21"	"Neoplasms"	"C00-D48"	596	17201365	3.5
	"21 years"	"21"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	55	17201365	0.3
	"21 years"	"21"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	293	17201365	1.7
	"21 years"	"21"	"Mental and behavioural disorders"	"F01-F99"	92	17201365	0.5
	"21 years"	"21"	"Diseases of the nervous system"	"G00-G98"	438	17201365	2.5
	"21 years"	"21"	"Diseases of the circulatory system"	"I00-I99"	562	17201365	3.3
	"21 years"	"21"	"Diseases of the respiratory system"	"J00-J98"	226	17201365	1.3
	"21 years"	"21"	"Diseases of the digestive system"	"K00-K92"	108	17201365	0.6
	"21 years"	"21"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	43	17201365	0.2
	"21 years"	"21"	"Diseases of the genitourinary system"	"N00-N98"	40	17201365	0.2
	"21 years"	"21"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	109	17201365	0.6
	"21 years"	"21"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	162	17201365	0.9
	"21 years"	"21"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	300	17201365	1.7
	"21 years"	"21"	"Codes for special purposes"	"U00-U99"	227	17201365	1.3
	"21 years"	"21"	"External causes of morbidity and mortality"	"V01-Y89"	13512	17201365	78.6
	"22 years"	"22"	"Certain infectious and parasitic diseases"	"A00-B99"	128	17205458	0.7
	"22 years"	"22"	"Neoplasms"	"C00-D48"	649	17205458	3.8
	"22 years"	"22"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	59	17205458	0.3
	"22 years"	"22"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	345	17205458	2.0
	"22 years"	"22"	"Mental and behavioural disorders"	"F01-F99"	135	17205458	0.8
	"22 years"	"22"	"Diseases of the nervous system"	"G00-G98"	433	17205458	2.5
	"22 years"	"22"	"Diseases of the circulatory system"	"I00-I99"	623	17205458	3.6
	"22 years"	"22"	"Diseases of the respiratory system"	"J00-J98"	257	17205458	1.5
	"22 years"	"22"	"Diseases of the digestive system"	"K00-K92"	149	17205458	0.9
	"22 years"	"22"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	55	17205458	0.3
	"22 years"	"22"	"Diseases of the genitourinary system"	"N00-N98"	44	17205458	0.3
	"22 years"	"22"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	107	17205458	0.6
	"22 years"	"22"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	129	17205458	0.7
	"22 years"	"22"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	283	17205458	1.6
	"22 years"	"22"	"Codes for special purposes"	"U00-U99"	288	17205458	1.7
	"22 years"	"22"	"External causes of morbidity and mortality"	"V01-Y89"	13892	17205458	80.7
	"23 years"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	157	17366718	0.9
	"23 years"	"23"	"Neoplasms"	"C00-D48"	658	17366718	3.8
	"23 years"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	82	17366718	0.5
	"23 years"	"23"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	346	17366718	2.0
	"23 years"	"23"	"Mental and behavioural disorders"	"F01-F99"	160	17366718	0.9
	"23 years"	"23"	"Diseases of the nervous system"	"G00-G98"	449	17366718	2.6
	"23 years"	"23"	"Diseases of the circulatory system"	"I00-I99"	753	17366718	4.3
	"23 years"	"23"	"Diseases of the respiratory system"	"J00-J98"	291	17366718	1.7
	"23 years"	"23"	"Diseases of the digestive system"	"K00-K92"	170	17366718	1.0
	"23 years"	"23"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	11	17366718	Unreliable
	"23 years"	"23"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	57	17366718	0.3
	"23 years"	"23"	"Diseases of the genitourinary system"	"N00-N98"	73	17366718	0.4
	"23 years"	"23"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	139	17366718	0.8
	"23 years"	"23"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	177	17366718	1.0
	"23 years"	"23"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	324	17366718	1.9
	"23 years"	"23"	"Codes for special purposes"	"U00-U99"	342	17366718	2.0
	"23 years"	"23"	"External causes of morbidity and mortality"	"V01-Y89"	14445	17366718	83.2
	"24 years"	"24"	"Certain infectious and parasitic diseases"	"A00-B99"	217	17616974	1.2
	"24 years"	"24"	"Neoplasms"	"C00-D48"	740	17616974	4.2
	"24 years"	"24"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	81	17616974	0.5
	"24 years"	"24"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	395	17616974	2.2
	"24 years"	"24"	"Mental and behavioural disorders"	"F01-F99"	194	17616974	1.1
	"24 years"	"24"	"Diseases of the nervous system"	"G00-G98"	489	17616974	2.8
	"24 years"	"24"	"Diseases of the circulatory system"	"I00-I99"	771	17616974	4.4
	"24 years"	"24"	"Diseases of the respiratory system"	"J00-J98"	342	17616974	1.9
	"24 years"	"24"	"Diseases of the digestive system"	"K00-K92"	238	17616974	1.4
	"24 years"	"24"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	14	17616974	Unreliable
	"24 years"	"24"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	79	17616974	0.4
	"24 years"	"24"	"Diseases of the genitourinary system"	"N00-N98"	78	17616974	0.4
	"24 years"	"24"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	157	17616974	0.9
	"24 years"	"24"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	169	17616974	1.0
	"24 years"	"24"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	326	17616974	1.9
	"24 years"	"24"	"Codes for special purposes"	"U00-U99"	397	17616974	2.3
	"24 years"	"24"	"External causes of morbidity and mortality"	"V01-Y89"	15069	17616974	85.5
	"25 years"	"25"	"Certain infectious and parasitic diseases"	"A00-B99"	260	17915491	1.5
	"25 years"	"25"	"Neoplasms"	"C00-D48"	849	17915491	4.7
	"25 years"	"25"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	81	17915491	0.5
	"25 years"	"25"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	456	17915491	2.5
	"25 years"	"25"	"Mental and behavioural disorders"	"F01-F99"	253	17915491	1.4
	"25 years"	"25"	"Diseases of the nervous system"	"G00-G98"	501	17915491	2.8
	"25 years"	"25"	"Diseases of the circulatory system"	"I00-I99"	966	17915491	5.4
	"25 years"	"25"	"Diseases of the respiratory system"	"J00-J98"	331	17915491	1.8
	"25 years"	"25"	"Diseases of the digestive system"	"K00-K92"	305	17915491	1.7
	"25 years"	"25"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	21	17915491	0.1
	"25 years"	"25"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	76	17915491	0.4
	"25 years"	"25"	"Diseases of the genitourinary system"	"N00-N98"	83	17915491	0.5
	"25 years"	"25"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	164	17915491	0.9
	"25 years"	"25"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	156	17915491	0.9
	"25 years"	"25"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	395	17915491	2.2
	"25 years"	"25"	"Codes for special purposes"	"U00-U99"	414	17915491	2.3
	"25 years"	"25"	"External causes of morbidity and mortality"	"V01-Y89"	16016	17915491	89.4
	"26 years"	"26"	"Certain infectious and parasitic diseases"	"A00-B99"	291	18282798	1.6
	"26 years"	"26"	"Neoplasms"	"C00-D48"	930	18282798	5.1
	"26 years"	"26"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	100	18282798	0.5
	"26 years"	"26"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	560	18282798	3.1
	"26 years"	"26"	"Mental and behavioural disorders"	"F01-F99"	340	18282798	1.9
	"26 years"	"26"	"Diseases of the nervous system"	"G00-G98"	492	18282798	2.7
	"26 years"	"26"	"Diseases of the circulatory system"	"I00-I99"	1182	18282798	6.5
	"26 years"	"26"	"Diseases of the respiratory system"	"J00-J98"	380	18282798	2.1
	"26 years"	"26"	"Diseases of the digestive system"	"K00-K92"	412	18282798	2.3
	"26 years"	"26"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	12	18282798	Unreliable
	"26 years"	"26"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	83	18282798	0.5
	"26 years"	"26"	"Diseases of the genitourinary system"	"N00-N98"	95	18282798	0.5
	"26 years"	"26"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	187	18282798	1.0
	"26 years"	"26"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	156	18282798	0.9
	"26 years"	"26"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	435	18282798	2.4
	"26 years"	"26"	"Codes for special purposes"	"U00-U99"	470	18282798	2.6
	"26 years"	"26"	"External causes of morbidity and mortality"	"V01-Y89"	16629	18282798	91.0
	"27 years"	"27"	"Certain infectious and parasitic diseases"	"A00-B99"	356	18657653	1.9
	"27 years"	"27"	"Neoplasms"	"C00-D48"	1052	18657653	5.6
	"27 years"	"27"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	103	18657653	0.6
	"27 years"	"27"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	597	18657653	3.2
	"27 years"	"27"	"Mental and behavioural disorders"	"F01-F99"	414	18657653	2.2
	"27 years"	"27"	"Diseases of the nervous system"	"G00-G98"	539	18657653	2.9
	"27 years"	"27"	"Diseases of the circulatory system"	"I00-I99"	1322	18657653	7.1
	"27 years"	"27"	"Diseases of the respiratory system"	"J00-J98"	391	18657653	2.1
	"27 years"	"27"	"Diseases of the digestive system"	"K00-K92"	539	18657653	2.9
	"27 years"	"27"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	20	18657653	0.1
	"27 years"	"27"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	81	18657653	0.4
	"27 years"	"27"	"Diseases of the genitourinary system"	"N00-N98"	114	18657653	0.6
	"27 years"	"27"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	213	18657653	1.1
	"27 years"	"27"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	160	18657653	0.9
	"27 years"	"27"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	469	18657653	2.5
	"27 years"	"27"	"Codes for special purposes"	"U00-U99"	568	18657653	3.0
	"27 years"	"27"	"External causes of morbidity and mortality"	"V01-Y89"	17630	18657653	94.5
	"28 years"	"28"	"Certain infectious and parasitic diseases"	"A00-B99"	401	18926212	2.1
	"28 years"	"28"	"Neoplasms"	"C00-D48"	1205	18926212	6.4
	"28 years"	"28"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	115	18926212	0.6
	"28 years"	"28"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	667	18926212	3.5
	"28 years"	"28"	"Mental and behavioural disorders"	"F01-F99"	448	18926212	2.4
	"28 years"	"28"	"Diseases of the nervous system"	"G00-G98"	555	18926212	2.9
	"28 years"	"28"	"Diseases of the circulatory system"	"I00-I99"	1575	18926212	8.3
	"28 years"	"28"	"Diseases of the respiratory system"	"J00-J98"	434	18926212	2.3
	"28 years"	"28"	"Diseases of the digestive system"	"K00-K92"	631	18926212	3.3
	"28 years"	"28"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	17	18926212	Unreliable
	"28 years"	"28"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	86	18926212	0.5
	"28 years"	"28"	"Diseases of the genitourinary system"	"N00-N98"	125	18926212	0.7
	"28 years"	"28"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	216	18926212	1.1
	"28 years"	"28"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	181	18926212	1.0
	"28 years"	"28"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	472	18926212	2.5
	"28 years"	"28"	"Codes for special purposes"	"U00-U99"	659	18926212	3.5
	"28 years"	"28"	"External causes of morbidity and mortality"	"V01-Y89"	18286	18926212	96.6
	"29 years"	"29"	"Certain infectious and parasitic diseases"	"A00-B99"	457	18912338	2.4
	"29 years"	"29"	"Neoplasms"	"C00-D48"	1364	18912338	7.2
	"29 years"	"29"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	115	18912338	0.6
	"29 years"	"29"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	769	18912338	4.1
	"29 years"	"29"	"Mental and behavioural disorders"	"F01-F99"	538	18912338	2.8
	"29 years"	"29"	"Diseases of the nervous system"	"G00-G98"	568	18912338	3.0
	"29 years"	"29"	"Diseases of the circulatory system"	"I00-I99"	1767	18912338	9.3
	"29 years"	"29"	"Diseases of the respiratory system"	"J00-J98"	466	18912338	2.5
	"29 years"	"29"	"Diseases of the digestive system"	"K00-K92"	775	18912338	4.1
	"29 years"	"29"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	23	18912338	0.1
	"29 years"	"29"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	90	18912338	0.5
	"29 years"	"29"	"Diseases of the genitourinary system"	"N00-N98"	178	18912338	0.9
	"29 years"	"29"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	251	18912338	1.3
	"29 years"	"29"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	175	18912338	0.9
	"29 years"	"29"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	541	18912338	2.9
	"29 years"	"29"	"Codes for special purposes"	"U00-U99"	785	18912338	4.2
	"29 years"	"29"	"External causes of morbidity and mortality"	"V01-Y89"	18715	18912338	99.0
	"30 years"	"30"	"Certain infectious and parasitic diseases"	"A00-B99"	513	18667558	2.7
	"30 years"	"30"	"Neoplasms"	"C00-D48"	1549	18667558	8.3
	"30 years"	"30"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	126	18667558	0.7
	"30 years"	"30"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	808	18667558	4.3
	"30 years"	"30"	"Mental and behavioural disorders"	"F01-F99"	642	18667558	3.4
	"30 years"	"30"	"Diseases of the nervous system"	"G00-G98"	613	18667558	3.3
	"30 years"	"30"	"Diseases of the circulatory system"	"I00-I99"	2081	18667558	11.1
	"30 years"	"30"	"Diseases of the respiratory system"	"J00-J98"	537	18667558	2.9
	"30 years"	"30"	"Diseases of the digestive system"	"K00-K92"	992	18667558	5.3
	"30 years"	"30"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	22	18667558	0.1
	"30 years"	"30"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	98	18667558	0.5
	"30 years"	"30"	"Diseases of the genitourinary system"	"N00-N98"	156	18667558	0.8
	"30 years"	"30"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	241	18667558	1.3
	"30 years"	"30"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	175	18667558	0.9
	"30 years"	"30"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	554	18667558	3.0
	"30 years"	"30"	"Codes for special purposes"	"U00-U99"	902	18667558	4.8
	"30 years"	"30"	"External causes of morbidity and mortality"	"V01-Y89"	18921	18667558	101.4
	"31 years"	"31"	"Certain infectious and parasitic diseases"	"A00-B99"	543	18296575	3.0
	"31 years"	"31"	"Neoplasms"	"C00-D48"	1616	18296575	8.8
	"31 years"	"31"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	117	18296575	0.6
	"31 years"	"31"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	843	18296575	4.6
	"31 years"	"31"	"Mental and behavioural disorders"	"F01-F99"	685	18296575	3.7
	"31 years"	"31"	"Diseases of the nervous system"	"G00-G98"	609	18296575	3.3
	"31 years"	"31"	"Diseases of the circulatory system"	"I00-I99"	2333	18296575	12.8
	"31 years"	"31"	"Diseases of the respiratory system"	"J00-J98"	525	18296575	2.9
	"31 years"	"31"	"Diseases of the digestive system"	"K00-K92"	1116	18296575	6.1
	"31 years"	"31"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	27	18296575	0.1
	"31 years"	"31"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	102	18296575	0.6
	"31 years"	"31"	"Diseases of the genitourinary system"	"N00-N98"	222	18296575	1.2
	"31 years"	"31"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	259	18296575	1.4
	"31 years"	"31"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	205	18296575	1.1
	"31 years"	"31"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	522	18296575	2.9
	"31 years"	"31"	"Codes for special purposes"	"U00-U99"	1040	18296575	5.7
	"31 years"	"31"	"External causes of morbidity and mortality"	"V01-Y89"	18548	18296575	101.4
	"32 years"	"32"	"Certain infectious and parasitic diseases"	"A00-B99"	551	17982281	3.1
	"32 years"	"32"	"Neoplasms"	"C00-D48"	1898	17982281	10.6
	"32 years"	"32"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	130	17982281	0.7
	"32 years"	"32"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	924	17982281	5.1
	"32 years"	"32"	"Mental and behavioural disorders"	"F01-F99"	744	17982281	4.1
	"32 years"	"32"	"Diseases of the nervous system"	"G00-G98"	616	17982281	3.4
	"32 years"	"32"	"Diseases of the circulatory system"	"I00-I99"	2461	17982281	13.7
	"32 years"	"32"	"Diseases of the respiratory system"	"J00-J98"	580	17982281	3.2
	"32 years"	"32"	"Diseases of the digestive system"	"K00-K92"	1324	17982281	7.4
	"32 years"	"32"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	27	17982281	0.2
	"32 years"	"32"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	133	17982281	0.7
	"32 years"	"32"	"Diseases of the genitourinary system"	"N00-N98"	208	17982281	1.2
	"32 years"	"32"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	257	17982281	1.4
	"32 years"	"32"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	185	17982281	1.0
	"32 years"	"32"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	531	17982281	3.0
	"32 years"	"32"	"Codes for special purposes"	"U00-U99"	1070	17982281	6.0
	"32 years"	"32"	"External causes of morbidity and mortality"	"V01-Y89"	18442	17982281	102.6
	"33 years"	"33"	"Certain infectious and parasitic diseases"	"A00-B99"	602	17858674	3.4
	"33 years"	"33"	"Neoplasms"	"C00-D48"	2184	17858674	12.2
	"33 years"	"33"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	167	17858674	0.9
	"33 years"	"33"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1020	17858674	5.7
	"33 years"	"33"	"Mental and behavioural disorders"	"F01-F99"	847	17858674	4.7
	"33 years"	"33"	"Diseases of the nervous system"	"G00-G98"	666	17858674	3.7
	"33 years"	"33"	"Diseases of the circulatory system"	"I00-I99"	2791	17858674	15.6
	"33 years"	"33"	"Diseases of the respiratory system"	"J00-J98"	619	17858674	3.5
	"33 years"	"33"	"Diseases of the digestive system"	"K00-K92"	1417	17858674	7.9
	"33 years"	"33"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	30	17858674	0.2
	"33 years"	"33"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	124	17858674	0.7
	"33 years"	"33"	"Diseases of the genitourinary system"	"N00-N98"	244	17858674	1.4
	"33 years"	"33"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	286	17858674	1.6
	"33 years"	"33"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	196	17858674	1.1
	"33 years"	"33"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	541	17858674	3.0
	"33 years"	"33"	"Codes for special purposes"	"U00-U99"	1171	17858674	6.6
	"33 years"	"33"	"External causes of morbidity and mortality"	"V01-Y89"	18323	17858674	102.6
	"34 years"	"34"	"Certain infectious and parasitic diseases"	"A00-B99"	652	17703266	3.7
	"34 years"	"34"	"Neoplasms"	"C00-D48"	2294	17703266	13.0
	"34 years"	"34"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	141	17703266	0.8
	"34 years"	"34"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1088	17703266	6.1
	"34 years"	"34"	"Mental and behavioural disorders"	"F01-F99"	880	17703266	5.0
	"34 years"	"34"	"Diseases of the nervous system"	"G00-G98"	685	17703266	3.9
	"34 years"	"34"	"Diseases of the circulatory system"	"I00-I99"	3230	17703266	18.2
	"34 years"	"34"	"Diseases of the respiratory system"	"J00-J98"	615	17703266	3.5
	"34 years"	"34"	"Diseases of the digestive system"	"K00-K92"	1583	17703266	8.9
	"34 years"	"34"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	30	17703266	0.2
	"34 years"	"34"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	131	17703266	0.7
	"34 years"	"34"	"Diseases of the genitourinary system"	"N00-N98"	276	17703266	1.6
	"34 years"	"34"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	270	17703266	1.5
	"34 years"	"34"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	171	17703266	1.0
	"34 years"	"34"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	570	17703266	3.2
	"34 years"	"34"	"Codes for special purposes"	"U00-U99"	1317	17703266	7.4
	"34 years"	"34"	"External causes of morbidity and mortality"	"V01-Y89"	17951	17703266	101.4
	"35 years"	"35"	"Certain infectious and parasitic diseases"	"A00-B99"	680	17651881	3.9
	"35 years"	"35"	"Neoplasms"	"C00-D48"	2651	17651881	15.0
	"35 years"	"35"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	167	17651881	0.9
	"35 years"	"35"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1195	17651881	6.8
	"35 years"	"35"	"Mental and behavioural disorders"	"F01-F99"	886	17651881	5.0
	"35 years"	"35"	"Diseases of the nervous system"	"G00-G98"	680	17651881	3.9
	"35 years"	"35"	"Diseases of the circulatory system"	"I00-I99"	3534	17651881	20.0
	"35 years"	"35"	"Diseases of the respiratory system"	"J00-J98"	730	17651881	4.1
	"35 years"	"35"	"Diseases of the digestive system"	"K00-K92"	1771	17651881	10.0
	"35 years"	"35"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	50	17651881	0.3
	"35 years"	"35"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	150	17651881	0.8
	"35 years"	"35"	"Diseases of the genitourinary system"	"N00-N98"	290	17651881	1.6
	"35 years"	"35"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	270	17651881	1.5
	"35 years"	"35"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	173	17651881	1.0
	"35 years"	"35"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	564	17651881	3.2
	"35 years"	"35"	"Codes for special purposes"	"U00-U99"	1404	17651881	8.0
	"35 years"	"35"	"External causes of morbidity and mortality"	"V01-Y89"	18135	17651881	102.7
	"36 years"	"36"	"Certain infectious and parasitic diseases"	"A00-B99"	720	17548982	4.1
	"36 years"	"36"	"Neoplasms"	"C00-D48"	2931	17548982	16.7
	"36 years"	"36"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	171	17548982	1.0
	"36 years"	"36"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1306	17548982	7.4
	"36 years"	"36"	"Mental and behavioural disorders"	"F01-F99"	980	17548982	5.6
	"36 years"	"36"	"Diseases of the nervous system"	"G00-G98"	701	17548982	4.0
	"36 years"	"36"	"Diseases of the circulatory system"	"I00-I99"	3910	17548982	22.3
	"36 years"	"36"	"Diseases of the respiratory system"	"J00-J98"	756	17548982	4.3
	"36 years"	"36"	"Diseases of the digestive system"	"K00-K92"	1956	17548982	11.1
	"36 years"	"36"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	39	17548982	0.2
	"36 years"	"36"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	157	17548982	0.9
	"36 years"	"36"	"Diseases of the genitourinary system"	"N00-N98"	333	17548982	1.9
	"36 years"	"36"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	285	17548982	1.6
	"36 years"	"36"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	193	17548982	1.1
	"36 years"	"36"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	542	17548982	3.1
	"36 years"	"36"	"Codes for special purposes"	"U00-U99"	1548	17548982	8.8
	"36 years"	"36"	"External causes of morbidity and mortality"	"V01-Y89"	17828	17548982	101.6
	"37 years"	"37"	"Certain infectious and parasitic diseases"	"A00-B99"	753	17445850	4.3
	"37 years"	"37"	"Neoplasms"	"C00-D48"	3314	17445850	19.0
	"37 years"	"37"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	187	17445850	1.1
	"37 years"	"37"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1408	17445850	8.1
	"37 years"	"37"	"Mental and behavioural disorders"	"F01-F99"	974	17445850	5.6
	"37 years"	"37"	"Diseases of the nervous system"	"G00-G98"	806	17445850	4.6
	"37 years"	"37"	"Diseases of the circulatory system"	"I00-I99"	4453	17445850	25.5
	"37 years"	"37"	"Diseases of the respiratory system"	"J00-J98"	763	17445850	4.4
