"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"28 years"	"28"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	64	9633937	0.7
	"28 years"	"28"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	404	9633937	4.2
	"28 years"	"28"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	278	9633937	2.9
	"28 years"	"28"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	362	9633937	3.8
	"28 years"	"28"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1026	9633937	10.6
	"28 years"	"28"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	261	9633937	2.7
	"28 years"	"28"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	384	9633937	4.0
	"28 years"	"28"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	35	9633937	0.4
	"28 years"	"28"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	65	9633937	0.7
	"28 years"	"28"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	114	9633937	1.2
	"28 years"	"28"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	322	9633937	3.3
	"28 years"	"28"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	429	9633937	4.5
	"28 years"	"28"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	14101	9633937	146.4
	"29 years"	"29"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	156	9312138	1.7
	"29 years"	"29"	"Female"	"F"	"Neoplasms"	"C00-D48"	651	9312138	7.0
	"29 years"	"29"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	45	9312138	0.5
	"29 years"	"29"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	303	9312138	3.3
	"29 years"	"29"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	214	9312138	2.3
	"29 years"	"29"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	211	9312138	2.3
	"29 years"	"29"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	646	9312138	6.9
	"29 years"	"29"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	197	9312138	2.1
	"29 years"	"29"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	304	9312138	3.3
	"29 years"	"29"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	13	9312138	Unreliable
	"29 years"	"29"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	67	9312138	0.7
	"29 years"	"29"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	87	9312138	0.9
	"29 years"	"29"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	251	9312138	2.7
	"29 years"	"29"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	75	9312138	0.8
	"29 years"	"29"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	190	9312138	2.0
	"29 years"	"29"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	264	9312138	2.8
	"29 years"	"29"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4392	9312138	47.2
	"29 years"	"29"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	301	9600200	3.1
	"29 years"	"29"	"Male"	"M"	"Neoplasms"	"C00-D48"	713	9600200	7.4
	"29 years"	"29"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	70	9600200	0.7
	"29 years"	"29"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	466	9600200	4.9
	"29 years"	"29"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	324	9600200	3.4
	"29 years"	"29"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	357	9600200	3.7
	"29 years"	"29"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1121	9600200	11.7
	"29 years"	"29"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	269	9600200	2.8
	"29 years"	"29"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	471	9600200	4.9
	"29 years"	"29"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	10	9600200	Unreliable
	"29 years"	"29"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	23	9600200	0.2
	"29 years"	"29"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	91	9600200	0.9
	"29 years"	"29"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	100	9600200	1.0
	"29 years"	"29"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	351	9600200	3.7
	"29 years"	"29"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	521	9600200	5.4
	"29 years"	"29"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	14323	9600200	149.2
	"30 years"	"30"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	176	9207480	1.9
	"30 years"	"30"	"Female"	"F"	"Neoplasms"	"C00-D48"	796	9207480	8.6
	"30 years"	"30"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	58	9207480	0.6
	"30 years"	"30"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	341	9207480	3.7
	"30 years"	"30"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	244	9207480	2.7
	"30 years"	"30"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	247	9207480	2.7
	"30 years"	"30"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	783	9207480	8.5
	"30 years"	"30"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	216	9207480	2.3
	"30 years"	"30"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	378	9207480	4.1
	"30 years"	"30"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	13	9207480	Unreliable
	"30 years"	"30"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	64	9207480	0.7
	"30 years"	"30"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	80	9207480	0.9
	"30 years"	"30"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	241	9207480	2.6
	"30 years"	"30"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	78	9207480	0.8
	"30 years"	"30"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	197	9207480	2.1
	"30 years"	"30"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	337	9207480	3.7
	"30 years"	"30"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4434	9207480	48.2
	"30 years"	"30"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	337	9460078	3.6
	"30 years"	"30"	"Male"	"M"	"Neoplasms"	"C00-D48"	753	9460078	8.0
	"30 years"	"30"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	68	9460078	0.7
	"30 years"	"30"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	467	9460078	4.9
	"30 years"	"30"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	398	9460078	4.2
	"30 years"	"30"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	366	9460078	3.9
	"30 years"	"30"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1298	9460078	13.7
	"30 years"	"30"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	321	9460078	3.4
	"30 years"	"30"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	614	9460078	6.5
	"30 years"	"30"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	34	9460078	0.4
	"30 years"	"30"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	76	9460078	0.8
	"30 years"	"30"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	97	9460078	1.0
	"30 years"	"30"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	357	9460078	3.8
	"30 years"	"30"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	565	9460078	6.0
	"30 years"	"30"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	14487	9460078	153.1
	"31 years"	"31"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	186	9032444	2.1
	"31 years"	"31"	"Female"	"F"	"Neoplasms"	"C00-D48"	845	9032444	9.4
	"31 years"	"31"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	56	9032444	0.6
	"31 years"	"31"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	293	9032444	3.2
	"31 years"	"31"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	277	9032444	3.1
	"31 years"	"31"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	232	9032444	2.6
	"31 years"	"31"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	808	9032444	8.9
	"31 years"	"31"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	246	9032444	2.7
	"31 years"	"31"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	464	9032444	5.1
	"31 years"	"31"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	16	9032444	Unreliable
	"31 years"	"31"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	76	9032444	0.8
	"31 years"	"31"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	98	9032444	1.1
	"31 years"	"31"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	259	9032444	2.9
	"31 years"	"31"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	94	9032444	1.0
	"31 years"	"31"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	177	9032444	2.0
	"31 years"	"31"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	389	9032444	4.3
	"31 years"	"31"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4348	9032444	48.1
	"31 years"	"31"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	357	9264131	3.9
	"31 years"	"31"	"Male"	"M"	"Neoplasms"	"C00-D48"	771	9264131	8.3
	"31 years"	"31"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	61	9264131	0.7
	"31 years"	"31"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	550	9264131	5.9
	"31 years"	"31"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	408	9264131	4.4
	"31 years"	"31"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	377	9264131	4.1
	"31 years"	"31"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1525	9264131	16.5
	"31 years"	"31"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	279	9264131	3.0
	"31 years"	"31"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	652	9264131	7.0
	"31 years"	"31"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	11	9264131	Unreliable
	"31 years"	"31"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	26	9264131	0.3
	"31 years"	"31"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	124	9264131	1.3
	"31 years"	"31"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	111	9264131	1.2
	"31 years"	"31"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	345	9264131	3.7
	"31 years"	"31"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	651	9264131	7.0
	"31 years"	"31"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	14200	9264131	153.3
	"32 years"	"32"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	210	8880102	2.4
	"32 years"	"32"	"Female"	"F"	"Neoplasms"	"C00-D48"	1018	8880102	11.5
	"32 years"	"32"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	64	8880102	0.7
	"32 years"	"32"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	375	8880102	4.2
	"32 years"	"32"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	294	8880102	3.3
	"32 years"	"32"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	257	8880102	2.9
	"32 years"	"32"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	897	8880102	10.1
	"32 years"	"32"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	256	8880102	2.9
	"32 years"	"32"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	521	8880102	5.9
	"32 years"	"32"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	15	8880102	Unreliable
	"32 years"	"32"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	83	8880102	0.9
	"32 years"	"32"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	100	8880102	1.1
	"32 years"	"32"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	257	8880102	2.9
	"32 years"	"32"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	80	8880102	0.9
	"32 years"	"32"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	174	8880102	2.0
	"32 years"	"32"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	395	8880102	4.4
	"32 years"	"32"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4511	8880102	50.8
	"32 years"	"32"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	341	9102179	3.7
	"32 years"	"32"	"Male"	"M"	"Neoplasms"	"C00-D48"	880	9102179	9.7
	"32 years"	"32"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	66	9102179	0.7
	"32 years"	"32"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	549	9102179	6.0
	"32 years"	"32"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	450	9102179	4.9
	"32 years"	"32"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	359	9102179	3.9
	"32 years"	"32"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1564	9102179	17.2
	"32 years"	"32"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	324	9102179	3.6
	"32 years"	"32"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	803	9102179	8.8
	"32 years"	"32"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	12	9102179	Unreliable
	"32 years"	"32"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	50	9102179	0.5
	"32 years"	"32"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	108	9102179	1.2
	"32 years"	"32"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	105	9102179	1.2
	"32 years"	"32"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	357	9102179	3.9
	"32 years"	"32"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	675	9102179	7.4
	"32 years"	"32"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	13931	9102179	153.1
	"33 years"	"33"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	218	8830276	2.5
	"33 years"	"33"	"Female"	"F"	"Neoplasms"	"C00-D48"	1227	8830276	13.9
	"33 years"	"33"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	75	8830276	0.8
	"33 years"	"33"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	431	8830276	4.9
	"33 years"	"33"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	296	8830276	3.4
	"33 years"	"33"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	256	8830276	2.9
	"33 years"	"33"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	971	8830276	11.0
	"33 years"	"33"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	286	8830276	3.2
	"33 years"	"33"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	543	8830276	6.1
	"33 years"	"33"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	17	8830276	Unreliable
	"33 years"	"33"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	79	8830276	0.9
	"33 years"	"33"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	105	8830276	1.2
	"33 years"	"33"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	286	8830276	3.2
	"33 years"	"33"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	95	8830276	1.1
	"33 years"	"33"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	179	8830276	2.0
	"33 years"	"33"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	422	8830276	4.8
	"33 years"	"33"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4690	8830276	53.1
	"33 years"	"33"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	384	9028398	4.3
	"33 years"	"33"	"Male"	"M"	"Neoplasms"	"C00-D48"	957	9028398	10.6
	"33 years"	"33"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	92	9028398	1.0
	"33 years"	"33"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	589	9028398	6.5
	"33 years"	"33"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	551	9028398	6.1
	"33 years"	"33"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	410	9028398	4.5
	"33 years"	"33"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1820	9028398	20.2
	"33 years"	"33"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	333	9028398	3.7
	"33 years"	"33"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	874	9028398	9.7
	"33 years"	"33"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	13	9028398	Unreliable
	"33 years"	"33"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	45	9028398	0.5
	"33 years"	"33"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	139	9028398	1.5
	"33 years"	"33"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	101	9028398	1.1
	"33 years"	"33"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	362	9028398	4.0
	"33 years"	"33"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	749	9028398	8.3
	"33 years"	"33"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	13633	9028398	151.0
	"34 years"	"34"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	241	8768014	2.7
	"34 years"	"34"	"Female"	"F"	"Neoplasms"	"C00-D48"	1304	8768014	14.9
	"34 years"	"34"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	74	8768014	0.8
	"34 years"	"34"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	438	8768014	5.0
	"34 years"	"34"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	275	8768014	3.1
	"34 years"	"34"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	288	8768014	3.3
	"34 years"	"34"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	1105	8768014	12.6
	"34 years"	"34"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	255	8768014	2.9
	"34 years"	"34"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	624	8768014	7.1
	"34 years"	"34"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	13	8768014	Unreliable
	"34 years"	"34"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	80	8768014	0.9
	"34 years"	"34"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	117	8768014	1.3
	"34 years"	"34"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	270	8768014	3.1
	"34 years"	"34"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	77	8768014	0.9
	"34 years"	"34"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	186	8768014	2.1
	"34 years"	"34"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	468	8768014	5.3
	"34 years"	"34"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4462	8768014	50.9
	"34 years"	"34"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	411	8935252	4.6
	"34 years"	"34"	"Male"	"M"	"Neoplasms"	"C00-D48"	990	8935252	11.1
	"34 years"	"34"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	67	8935252	0.7
	"34 years"	"34"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	650	8935252	7.3
	"34 years"	"34"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	605	8935252	6.8
	"34 years"	"34"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	397	8935252	4.4
	"34 years"	"34"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	2125	8935252	23.8
	"34 years"	"34"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	360	8935252	4.0
	"34 years"	"34"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	959	8935252	10.7
	"34 years"	"34"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	17	8935252	Unreliable
	"34 years"	"34"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	51	8935252	0.6
	"34 years"	"34"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	159	8935252	1.8
	"34 years"	"34"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	94	8935252	1.1
	"34 years"	"34"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	384	8935252	4.3
	"34 years"	"34"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	849	8935252	9.5
	"34 years"	"34"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	13489	8935252	151.0
	"35 years"	"35"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	248	8762562	2.8
	"35 years"	"35"	"Female"	"F"	"Neoplasms"	"C00-D48"	1480	8762562	16.9
	"35 years"	"35"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	71	8762562	0.8
	"35 years"	"35"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	470	8762562	5.4
	"35 years"	"35"	"Female"	"F"	"Mental and behavioural disorders"	"F01-F99"	318	8762562	3.6
	"35 years"	"35"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	279	8762562	3.2
	"35 years"	"35"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	1246	8762562	14.2
	"35 years"	"35"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	327	8762562	3.7
	"35 years"	"35"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	660	8762562	7.5
	"35 years"	"35"	"Female"	"F"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	27	8762562	0.3
	"35 years"	"35"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	101	8762562	1.2
	"35 years"	"35"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	127	8762562	1.4
	"35 years"	"35"	"Female"	"F"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	270	8762562	3.1
	"35 years"	"35"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	80	8762562	0.9
	"35 years"	"35"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	197	8762562	2.2
	"35 years"	"35"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	494	8762562	5.6
	"35 years"	"35"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	4577	8762562	52.2
	"35 years"	"35"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	432	8889319	4.9
	"35 years"	"35"	"Male"	"M"	"Neoplasms"	"C00-D48"	1171	8889319	13.2
	"35 years"	"35"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	96	8889319	1.1
	"35 years"	"35"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	725	8889319	8.2
	"35 years"	"35"	"Male"	"M"	"Mental and behavioural disorders"	"F01-F99"	568	8889319	6.4
	"35 years"	"35"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	401	8889319	4.5
	"35 years"	"35"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	2288	8889319	25.7
	"35 years"	"35"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	403	8889319	4.5
	"35 years"	"35"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	1111	8889319	12.5
	"35 years"	"35"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	23	8889319	0.3
	"35 years"	"35"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	49	8889319	0.6
	"35 years"	"35"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	163	8889319	1.8
	"35 years"	"35"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	93	8889319	1.0
	"35 years"	"35"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	367	8889319	4.1
	"35 years"	"35"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	910	8889319	10.2
	"35 years"	"35"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	13558	8889319	152.5
	"36 years"	"36"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	275	8733192	3.1
	"36 years"	"36"	"Female"	"F"	"Neoplasms"	"C00-D48"	1724	8733192	19.7
