"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"44 years"	"44"	"Complications of medical and surgical care"	"Y40-Y84"	122	15712242	0.8
	"44 years"	"44"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	94	15712242	0.6
	"45 years"	"45"	"Transport accidents"	"V01-V99"	2138	15608227	13.7
	"45 years"	"45"	"Other external causes of accidental injury"	"W00-X59"	7462	15608227	47.8
	"45 years"	"45"	"Intentional self-harm"	"X60-X84"	2854	15608227	18.3
	"45 years"	"45"	"Assault"	"X85-Y09"	1066	15608227	6.8
	"45 years"	"45"	"Event of undetermined intent"	"Y10-Y34"	397	15608227	2.5
	"45 years"	"45"	"Legal intervention and operations of war"	"Y35-Y36"	48	15608227	0.3
	"45 years"	"45"	"Complications of medical and surgical care"	"Y40-Y84"	98	15608227	0.6
	"45 years"	"45"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	115	15608227	0.7
	"46 years"	"46"	"Transport accidents"	"V01-V99"	2248	15742311	14.3
	"46 years"	"46"	"Other external causes of accidental injury"	"W00-X59"	7373	15742311	46.8
	"46 years"	"46"	"Intentional self-harm"	"X60-X84"	2935	15742311	18.6
	"46 years"	"46"	"Assault"	"X85-Y09"	1039	15742311	6.6
	"46 years"	"46"	"Event of undetermined intent"	"Y10-Y34"	422	15742311	2.7
	"46 years"	"46"	"Legal intervention and operations of war"	"Y35-Y36"	43	15742311	0.3
	"46 years"	"46"	"Complications of medical and surgical care"	"Y40-Y84"	139	15742311	0.9
	"46 years"	"46"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	99	15742311	0.6
	"47 years"	"47"	"Transport accidents"	"V01-V99"	2321	16111488	14.4
	"47 years"	"47"	"Other external causes of accidental injury"	"W00-X59"	7522	16111488	46.7
	"47 years"	"47"	"Intentional self-harm"	"X60-X84"	2977	16111488	18.5
	"47 years"	"47"	"Assault"	"X85-Y09"	972	16111488	6.0
	"47 years"	"47"	"Event of undetermined intent"	"Y10-Y34"	398	16111488	2.5
	"47 years"	"47"	"Legal intervention and operations of war"	"Y35-Y36"	49	16111488	0.3
	"47 years"	"47"	"Complications of medical and surgical care"	"Y40-Y84"	126	16111488	0.8
	"47 years"	"47"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	121	16111488	0.8
	"48 years"	"48"	"Transport accidents"	"V01-V99"	2375	16603311	14.3
	"48 years"	"48"	"Other external causes of accidental injury"	"W00-X59"	7983	16603311	48.1
	"48 years"	"48"	"Intentional self-harm"	"X60-X84"	3207	16603311	19.3
	"48 years"	"48"	"Assault"	"X85-Y09"	1044	16603311	6.3
	"48 years"	"48"	"Event of undetermined intent"	"Y10-Y34"	471	16603311	2.8
	"48 years"	"48"	"Legal intervention and operations of war"	"Y35-Y36"	48	16603311	0.3
	"48 years"	"48"	"Complications of medical and surgical care"	"Y40-Y84"	117	16603311	0.7
	"48 years"	"48"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	122	16603311	0.7
	"49 years"	"49"	"Transport accidents"	"V01-V99"	2406	16831665	14.3
	"49 years"	"49"	"Other external causes of accidental injury"	"W00-X59"	8446	16831665	50.2
	"49 years"	"49"	"Intentional self-harm"	"X60-X84"	3183	16831665	18.9
	"49 years"	"49"	"Assault"	"X85-Y09"	990	16831665	5.9
	"49 years"	"49"	"Event of undetermined intent"	"Y10-Y34"	470	16831665	2.8
	"49 years"	"49"	"Legal intervention and operations of war"	"Y35-Y36"	42	16831665	0.2
	"49 years"	"49"	"Complications of medical and surgical care"	"Y40-Y84"	153	16831665	0.9
	"49 years"	"49"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	133	16831665	0.8
	"50 years"	"50"	"Transport accidents"	"V01-V99"	2459	16799801	14.6
	"50 years"	"50"	"Other external causes of accidental injury"	"W00-X59"	8425	16799801	50.1
	"50 years"	"50"	"Intentional self-harm"	"X60-X84"	3136	16799801	18.7
	"50 years"	"50"	"Assault"	"X85-Y09"	880	16799801	5.2
	"50 years"	"50"	"Event of undetermined intent"	"Y10-Y34"	496	16799801	3.0
	"50 years"	"50"	"Legal intervention and operations of war"	"Y35-Y36"	40	16799801	0.2
	"50 years"	"50"	"Complications of medical and surgical care"	"Y40-Y84"	179	16799801	1.1
	"50 years"	"50"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	128	16799801	0.8
	"51 years"	"51"	"Transport accidents"	"V01-V99"	2354	16403658	14.4
	"51 years"	"51"	"Other external causes of accidental injury"	"W00-X59"	8234	16403658	50.2
	"51 years"	"51"	"Intentional self-harm"	"X60-X84"	3088	16403658	18.8
	"51 years"	"51"	"Assault"	"X85-Y09"	865	16403658	5.3
	"51 years"	"51"	"Event of undetermined intent"	"Y10-Y34"	436	16403658	2.7
	"51 years"	"51"	"Legal intervention and operations of war"	"Y35-Y36"	31	16403658	0.2
	"51 years"	"51"	"Complications of medical and surgical care"	"Y40-Y84"	190	16403658	1.2
	"51 years"	"51"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	127	16403658	0.8
	"52 years"	"52"	"Transport accidents"	"V01-V99"	2477	16215781	15.3
	"52 years"	"52"	"Other external causes of accidental injury"	"W00-X59"	8189	16215781	50.5
	"52 years"	"52"	"Intentional self-harm"	"X60-X84"	3160	16215781	19.5
	"52 years"	"52"	"Assault"	"X85-Y09"	832	16215781	5.1
	"52 years"	"52"	"Event of undetermined intent"	"Y10-Y34"	471	16215781	2.9
	"52 years"	"52"	"Legal intervention and operations of war"	"Y35-Y36"	42	16215781	0.3
	"52 years"	"52"	"Complications of medical and surgical care"	"Y40-Y84"	216	16215781	1.3
	"52 years"	"52"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	167	16215781	1.0
	"53 years"	"53"	"Transport accidents"	"V01-V99"	2490	16429011	15.2
	"53 years"	"53"	"Other external causes of accidental injury"	"W00-X59"	8319	16429011	50.6
	"53 years"	"53"	"Intentional self-harm"	"X60-X84"	3181	16429011	19.4
	"53 years"	"53"	"Assault"	"X85-Y09"	808	16429011	4.9
	"53 years"	"53"	"Event of undetermined intent"	"Y10-Y34"	465	16429011	2.8
	"53 years"	"53"	"Legal intervention and operations of war"	"Y35-Y36"	22	16429011	0.1
	"53 years"	"53"	"Complications of medical and surgical care"	"Y40-Y84"	218	16429011	1.3
	"53 years"	"53"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	142	16429011	0.9
	"54 years"	"54"	"Transport accidents"	"V01-V99"	2598	16815917	15.4
	"54 years"	"54"	"Other external causes of accidental injury"	"W00-X59"	8798	16815917	52.3
	"54 years"	"54"	"Intentional self-harm"	"X60-X84"	3262	16815917	19.4
	"54 years"	"54"	"Assault"	"X85-Y09"	810	16815917	4.8
	"54 years"	"54"	"Event of undetermined intent"	"Y10-Y34"	474	16815917	2.8
	"54 years"	"54"	"Legal intervention and operations of war"	"Y35-Y36"	24	16815917	0.1
	"54 years"	"54"	"Complications of medical and surgical care"	"Y40-Y84"	220	16815917	1.3
	"54 years"	"54"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	164	16815917	1.0
	"55 years"	"55"	"Transport accidents"	"V01-V99"	2702	17165921	15.7
	"55 years"	"55"	"Other external causes of accidental injury"	"W00-X59"	9065	17165921	52.8
	"55 years"	"55"	"Intentional self-harm"	"X60-X84"	3303	17165921	19.2
	"55 years"	"55"	"Assault"	"X85-Y09"	763	17165921	4.4
	"55 years"	"55"	"Event of undetermined intent"	"Y10-Y34"	518	17165921	3.0
	"55 years"	"55"	"Legal intervention and operations of war"	"Y35-Y36"	24	17165921	0.1
	"55 years"	"55"	"Complications of medical and surgical care"	"Y40-Y84"	273	17165921	1.6
	"55 years"	"55"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	181	17165921	1.1
	"56 years"	"56"	"Transport accidents"	"V01-V99"	2691	17362244	15.5
	"56 years"	"56"	"Other external causes of accidental injury"	"W00-X59"	9095	17362244	52.4
	"56 years"	"56"	"Intentional self-harm"	"X60-X84"	3373	17362244	19.4
	"56 years"	"56"	"Assault"	"X85-Y09"	791	17362244	4.6
	"56 years"	"56"	"Event of undetermined intent"	"Y10-Y34"	476	17362244	2.7
	"56 years"	"56"	"Legal intervention and operations of war"	"Y35-Y36"	31	17362244	0.2
	"56 years"	"56"	"Complications of medical and surgical care"	"Y40-Y84"	278	17362244	1.6
	"56 years"	"56"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	181	17362244	1.0
	"57 years"	"57"	"Transport accidents"	"V01-V99"	2800	17476411	16.0
	"57 years"	"57"	"Other external causes of accidental injury"	"W00-X59"	9146	17476411	52.3
	"57 years"	"57"	"Intentional self-harm"	"X60-X84"	3487	17476411	20.0
	"57 years"	"57"	"Assault"	"X85-Y09"	723	17476411	4.1
	"57 years"	"57"	"Event of undetermined intent"	"Y10-Y34"	467	17476411	2.7
	"57 years"	"57"	"Legal intervention and operations of war"	"Y35-Y36"	32	17476411	0.2
	"57 years"	"57"	"Complications of medical and surgical care"	"Y40-Y84"	284	17476411	1.6
	"57 years"	"57"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	198	17476411	1.1
	"58 years"	"58"	"Transport accidents"	"V01-V99"	2808	17530131	16.0
	"58 years"	"58"	"Other external causes of accidental injury"	"W00-X59"	9016	17530131	51.4
	"58 years"	"58"	"Intentional self-harm"	"X60-X84"	3450	17530131	19.7
	"58 years"	"58"	"Assault"	"X85-Y09"	778	17530131	4.4
	"58 years"	"58"	"Event of undetermined intent"	"Y10-Y34"	450	17530131	2.6
	"58 years"	"58"	"Legal intervention and operations of war"	"Y35-Y36"	26	17530131	0.1
	"58 years"	"58"	"Complications of medical and surgical care"	"Y40-Y84"	314	17530131	1.8
	"58 years"	"58"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	227	17530131	1.3
	"59 years"	"59"	"Transport accidents"	"V01-V99"	2739	17454082	15.7
	"59 years"	"59"	"Other external causes of accidental injury"	"W00-X59"	8644	17454082	49.5
	"59 years"	"59"	"Intentional self-harm"	"X60-X84"	3345	17454082	19.2
	"59 years"	"59"	"Assault"	"X85-Y09"	657	17454082	3.8
	"59 years"	"59"	"Event of undetermined intent"	"Y10-Y34"	474	17454082	2.7
	"59 years"	"59"	"Legal intervention and operations of war"	"Y35-Y36"	25	17454082	0.1
	"59 years"	"59"	"Complications of medical and surgical care"	"Y40-Y84"	369	17454082	2.1
	"59 years"	"59"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	208	17454082	1.2
	"60 years"	"60"	"Transport accidents"	"V01-V99"	2657	17275263	15.4
	"60 years"	"60"	"Other external causes of accidental injury"	"W00-X59"	8380	17275263	48.5
	"60 years"	"60"	"Intentional self-harm"	"X60-X84"	3086	17275263	17.9
	"60 years"	"60"	"Assault"	"X85-Y09"	656	17275263	3.8
	"60 years"	"60"	"Event of undetermined intent"	"Y10-Y34"	412	17275263	2.4
	"60 years"	"60"	"Legal intervention and operations of war"	"Y35-Y36"	26	17275263	0.2
	"60 years"	"60"	"Complications of medical and surgical care"	"Y40-Y84"	374	17275263	2.2
	"60 years"	"60"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	205	17275263	1.2
	"61 years"	"61"	"Transport accidents"	"V01-V99"	2610	16939838	15.4
	"61 years"	"61"	"Other external causes of accidental injury"	"W00-X59"	8030	16939838	47.4
	"61 years"	"61"	"Intentional self-harm"	"X60-X84"	3056	16939838	18.0
	"61 years"	"61"	"Assault"	"X85-Y09"	580	16939838	3.4
	"61 years"	"61"	"Event of undetermined intent"	"Y10-Y34"	362	16939838	2.1
	"61 years"	"61"	"Legal intervention and operations of war"	"Y35-Y36"	29	16939838	0.2
	"61 years"	"61"	"Complications of medical and surgical care"	"Y40-Y84"	392	16939838	2.3
	"61 years"	"61"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	215	16939838	1.3
	"62 years"	"62"	"Transport accidents"	"V01-V99"	2543	16597244	15.3
	"62 years"	"62"	"Other external causes of accidental injury"	"W00-X59"	7542	16597244	45.4
	"62 years"	"62"	"Intentional self-harm"	"X60-X84"	2820	16597244	17.0
	"62 years"	"62"	"Assault"	"X85-Y09"	556	16597244	3.3
	"62 years"	"62"	"Event of undetermined intent"	"Y10-Y34"	369	16597244	2.2
	"62 years"	"62"	"Legal intervention and operations of war"	"Y35-Y36"	19	16597244	Unreliable
	"62 years"	"62"	"Complications of medical and surgical care"	"Y40-Y84"	421	16597244	2.5
	"62 years"	"62"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	202	16597244	1.2
	"63 years"	"63"	"Transport accidents"	"V01-V99"	2398	16293008	14.7
	"63 years"	"63"	"Other external causes of accidental injury"	"W00-X59"	7366	16293008	45.2
	"63 years"	"63"	"Intentional self-harm"	"X60-X84"	2634	16293008	16.2
	"63 years"	"63"	"Assault"	"X85-Y09"	506	16293008	3.1
	"63 years"	"63"	"Event of undetermined intent"	"Y10-Y34"	338	16293008	2.1
	"63 years"	"63"	"Legal intervention and operations of war"	"Y35-Y36"	15	16293008	Unreliable
	"63 years"	"63"	"Complications of medical and surgical care"	"Y40-Y84"	432	16293008	2.7
	"63 years"	"63"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	215	16293008	1.3
	"64 years"	"64"	"Transport accidents"	"V01-V99"	2260	15833772	14.3
	"64 years"	"64"	"Other external causes of accidental injury"	"W00-X59"	6776	15833772	42.8
	"64 years"	"64"	"Intentional self-harm"	"X60-X84"	2616	15833772	16.5
	"64 years"	"64"	"Assault"	"X85-Y09"	453	15833772	2.9
	"64 years"	"64"	"Event of undetermined intent"	"Y10-Y34"	303	15833772	1.9
	"64 years"	"64"	"Complications of medical and surgical care"	"Y40-Y84"	480	15833772	3.0
	"64 years"	"64"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	200	15833772	1.3
	"65 years"	"65"	"Transport accidents"	"V01-V99"	2205	15269774	14.4
	"65 years"	"65"	"Other external causes of accidental injury"	"W00-X59"	6393	15269774	41.9
	"65 years"	"65"	"Intentional self-harm"	"X60-X84"	2370	15269774	15.5
	"65 years"	"65"	"Assault"	"X85-Y09"	443	15269774	2.9
	"65 years"	"65"	"Event of undetermined intent"	"Y10-Y34"	263	15269774	1.7
	"65 years"	"65"	"Legal intervention and operations of war"	"Y35-Y36"	11	15269774	Unreliable
	"65 years"	"65"	"Complications of medical and surgical care"	"Y40-Y84"	512	15269774	3.4
	"65 years"	"65"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	195	15269774	1.3
	"66 years"	"66"	"Transport accidents"	"V01-V99"	2018	14689359	13.7
	"66 years"	"66"	"Other external causes of accidental injury"	"W00-X59"	5919	14689359	40.3
	"66 years"	"66"	"Intentional self-harm"	"X60-X84"	2190	14689359	14.9
	"66 years"	"66"	"Assault"	"X85-Y09"	404	14689359	2.8
	"66 years"	"66"	"Event of undetermined intent"	"Y10-Y34"	215	14689359	1.5
	"66 years"	"66"	"Complications of medical and surgical care"	"Y40-Y84"	506	14689359	3.4
	"66 years"	"66"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	170	14689359	1.2
	"67 years"	"67"	"Transport accidents"	"V01-V99"	1978	14120662	14.0
	"67 years"	"67"	"Other external causes of accidental injury"	"W00-X59"	5695	14120662	40.3
	"67 years"	"67"	"Intentional self-harm"	"X60-X84"	2170	14120662	15.4
	"67 years"	"67"	"Assault"	"X85-Y09"	328	14120662	2.3
	"67 years"	"67"	"Event of undetermined intent"	"Y10-Y34"	209	14120662	1.5
	"67 years"	"67"	"Complications of medical and surgical care"	"Y40-Y84"	561	14120662	4.0
	"67 years"	"67"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	184	14120662	1.3
	"68 years"	"68"	"Transport accidents"	"V01-V99"	1924	13597597	14.1
	"68 years"	"68"	"Other external causes of accidental injury"	"W00-X59"	5331	13597597	39.2
	"68 years"	"68"	"Intentional self-harm"	"X60-X84"	2081	13597597	15.3
	"68 years"	"68"	"Assault"	"X85-Y09"	301	13597597	2.2
	"68 years"	"68"	"Event of undetermined intent"	"Y10-Y34"	191	13597597	1.4
	"68 years"	"68"	"Complications of medical and surgical care"	"Y40-Y84"	559	13597597	4.1
	"68 years"	"68"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	209	13597597	1.5
	"69 years"	"69"	"Transport accidents"	"V01-V99"	1825	13132489	13.9
	"69 years"	"69"	"Other external causes of accidental injury"	"W00-X59"	5042	13132489	38.4
	"69 years"	"69"	"Intentional self-harm"	"X60-X84"	2050	13132489	15.6
	"69 years"	"69"	"Assault"	"X85-Y09"	272	13132489	2.1
	"69 years"	"69"	"Event of undetermined intent"	"Y10-Y34"	169	13132489	1.3
	"69 years"	"69"	"Complications of medical and surgical care"	"Y40-Y84"	546	13132489	4.2
	"69 years"	"69"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	201	13132489	1.5
	"70 years"	"70"	"Transport accidents"	"V01-V99"	1728	12702848	13.6
	"70 years"	"70"	"Other external causes of accidental injury"	"W00-X59"	5035	12702848	39.6
	"70 years"	"70"	"Intentional self-harm"	"X60-X84"	1969	12702848	15.5
	"70 years"	"70"	"Assault"	"X85-Y09"	251	12702848	2.0
	"70 years"	"70"	"Event of undetermined intent"	"Y10-Y34"	133	12702848	1.0
	"70 years"	"70"	"Complications of medical and surgical care"	"Y40-Y84"	599	12702848	4.7
	"70 years"	"70"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	166	12702848	1.3
	"71 years"	"71"	"Transport accidents"	"V01-V99"	1760	12494756	14.1
	"71 years"	"71"	"Other external causes of accidental injury"	"W00-X59"	5138	12494756	41.1
	"71 years"	"71"	"Intentional self-harm"	"X60-X84"	1860	12494756	14.9
	"71 years"	"71"	"Assault"	"X85-Y09"	266	12494756	2.1
	"71 years"	"71"	"Event of undetermined intent"	"Y10-Y34"	117	12494756	0.9
	"71 years"	"71"	"Complications of medical and surgical care"	"Y40-Y84"	576	12494756	4.6
	"71 years"	"71"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	160	12494756	1.3
	"72 years"	"72"	"Transport accidents"	"V01-V99"	1663	11588562	14.4
	"72 years"	"72"	"Other external causes of accidental injury"	"W00-X59"	5177	11588562	44.7
	"72 years"	"72"	"Intentional self-harm"	"X60-X84"	1751	11588562	15.1
	"72 years"	"72"	"Assault"	"X85-Y09"	234	11588562	2.0
	"72 years"	"72"	"Event of undetermined intent"	"Y10-Y34"	109	11588562	0.9
	"72 years"	"72"	"Complications of medical and surgical care"	"Y40-Y84"	609	11588562	5.3
	"72 years"	"72"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	139	11588562	1.2
	"73 years"	"73"	"Transport accidents"	"V01-V99"	1590	10713481	14.8
	"73 years"	"73"	"Other external causes of accidental injury"	"W00-X59"	5048	10713481	47.1
	"73 years"	"73"	"Intentional self-harm"	"X60-X84"	1649	10713481	15.4
	"73 years"	"73"	"Assault"	"X85-Y09"	211	10713481	2.0
	"73 years"	"73"	"Event of undetermined intent"	"Y10-Y34"	95	10713481	0.9
	"73 years"	"73"	"Complications of medical and surgical care"	"Y40-Y84"	597	10713481	5.6
	"73 years"	"73"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	150	10713481	1.4
	"74 years"	"74"	"Transport accidents"	"V01-V99"	1509	9881741	15.3
	"74 years"	"74"	"Other external causes of accidental injury"	"W00-X59"	5124	9881741	51.9
	"74 years"	"74"	"Intentional self-harm"	"X60-X84"	1596	9881741	16.2
	"74 years"	"74"	"Assault"	"X85-Y09"	216	9881741	2.2
	"74 years"	"74"	"Event of undetermined intent"	"Y10-Y34"	100	9881741	1.0
	"74 years"	"74"	"Complications of medical and surgical care"	"Y40-Y84"	604	9881741	6.1
	"74 years"	"74"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	117	9881741	1.2
	"75 years"	"75"	"Transport accidents"	"V01-V99"	1411	8869012	15.9
	"75 years"	"75"	"Other external causes of accidental injury"	"W00-X59"	5067	8869012	57.1
	"75 years"	"75"	"Intentional self-harm"	"X60-X84"	1528	8869012	17.2
	"75 years"	"75"	"Assault"	"X85-Y09"	166	8869012	1.9
	"75 years"	"75"	"Event of undetermined intent"	"Y10-Y34"	97	8869012	1.1
	"75 years"	"75"	"Complications of medical and surgical care"	"Y40-Y84"	598	8869012	6.7
	"75 years"	"75"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	136	8869012	1.5
	"76 years"	"76"	"Transport accidents"	"V01-V99"	1390	8390876	16.6
	"76 years"	"76"	"Other external causes of accidental injury"	"W00-X59"	5442	8390876	64.9
	"76 years"	"76"	"Intentional self-harm"	"X60-X84"	1555	8390876	18.5
	"76 years"	"76"	"Assault"	"X85-Y09"	158	8390876	1.9
	"76 years"	"76"	"Event of undetermined intent"	"Y10-Y34"	68	8390876	0.8
	"76 years"	"76"	"Complications of medical and surgical care"	"Y40-Y84"	578	8390876	6.9
	"76 years"	"76"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	149	8390876	1.8
	"77 years"	"77"	"Transport accidents"	"V01-V99"	1384	7837511	17.7
	"77 years"	"77"	"Other external causes of accidental injury"	"W00-X59"	5728	7837511	73.1
	"77 years"	"77"	"Intentional self-harm"	"X60-X84"	1437	7837511	18.3
	"77 years"	"77"	"Assault"	"X85-Y09"	136	7837511	1.7
	"77 years"	"77"	"Event of undetermined intent"	"Y10-Y34"	73	7837511	0.9
	"77 years"	"77"	"Complications of medical and surgical care"	"Y40-Y84"	570	7837511	7.3
	"77 years"	"77"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	107	7837511	1.4
	"78 years"	"78"	"Transport accidents"	"V01-V99"	1327	7224988	18.4
	"78 years"	"78"	"Other external causes of accidental injury"	"W00-X59"	5726	7224988	79.3
	"78 years"	"78"	"Intentional self-harm"	"X60-X84"	1348	7224988	18.7
	"78 years"	"78"	"Assault"	"X85-Y09"	135	7224988	1.9
	"78 years"	"78"	"Event of undetermined intent"	"Y10-Y34"	74	7224988	1.0
	"78 years"	"78"	"Complications of medical and surgical care"	"Y40-Y84"	513	7224988	7.1
	"78 years"	"78"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	118	7224988	1.6
	"79 years"	"79"	"Transport accidents"	"V01-V99"	1205	6488946	18.6
	"79 years"	"79"	"Other external causes of accidental injury"	"W00-X59"	6093	6488946	93.9
	"79 years"	"79"	"Intentional self-harm"	"X60-X84"	1243	6488946	19.2
	"79 years"	"79"	"Assault"	"X85-Y09"	130	6488946	2.0
	"79 years"	"79"	"Event of undetermined intent"	"Y10-Y34"	52	6488946	0.8
	"79 years"	"79"	"Complications of medical and surgical care"	"Y40-Y84"	557	6488946	8.6
	"79 years"	"79"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	110	6488946	1.7
	"80 years"	"80"	"Transport accidents"	"V01-V99"	1134	5961430	19.0
	"80 years"	"80"	"Other external causes of accidental injury"	"W00-X59"	6170	5961430	103.5
	"80 years"	"80"	"Intentional self-harm"	"X60-X84"	1143	5961430	19.2
	"80 years"	"80"	"Assault"	"X85-Y09"	113	5961430	1.9
	"80 years"	"80"	"Event of undetermined intent"	"Y10-Y34"	59	5961430	1.0
	"80 years"	"80"	"Complications of medical and surgical care"	"Y40-Y84"	469	5961430	7.9
	"80 years"	"80"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	125	5961430	2.1
	"81 years"	"81"	"Transport accidents"	"V01-V99"	1122	5459792	20.6
	"81 years"	"81"	"Other external causes of accidental injury"	"W00-X59"	6440	5459792	118.0
	"81 years"	"81"	"Intentional self-harm"	"X60-X84"	1040	5459792	19.0
	"81 years"	"81"	"Assault"	"X85-Y09"	86	5459792	1.6
	"81 years"	"81"	"Event of undetermined intent"	"Y10-Y34"	48	5459792	0.9
	"81 years"	"81"	"Complications of medical and surgical care"	"Y40-Y84"	448	5459792	8.2
	"81 years"	"81"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	95	5459792	1.7
	"82 years"	"82"	"Transport accidents"	"V01-V99"	1021	5023666	20.3
	"82 years"	"82"	"Other external causes of accidental injury"	"W00-X59"	6853	5023666	136.4
	"82 years"	"82"	"Intentional self-harm"	"X60-X84"	970	5023666	19.3
	"82 years"	"82"	"Assault"	"X85-Y09"	101	5023666	2.0
	"82 years"	"82"	"Event of undetermined intent"	"Y10-Y34"	42	5023666	0.8
	"82 years"	"82"	"Complications of medical and surgical care"	"Y40-Y84"	454	5023666	9.0
	"82 years"	"82"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	107	5023666	2.1
	"83 years"	"83"	"Transport accidents"	"V01-V99"	912	4614595	19.8
	"83 years"	"83"	"Other external causes of accidental injury"	"W00-X59"	7177	4614595	155.5
	"83 years"	"83"	"Intentional self-harm"	"X60-X84"	946	4614595	20.5
	"83 years"	"83"	"Assault"	"X85-Y09"	84	4614595	1.8
	"83 years"	"83"	"Event of undetermined intent"	"Y10-Y34"	39	4614595	0.8
	"83 years"	"83"	"Complications of medical and surgical care"	"Y40-Y84"	425	4614595	9.2
	"83 years"	"83"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	104	4614595	2.3
	"84 years"	"84"	"Transport accidents"	"V01-V99"	914	4151052	22.0
	"84 years"	"84"	"Other external causes of accidental injury"	"W00-X59"	7252	4151052	174.7
	"84 years"	"84"	"Intentional self-harm"	"X60-X84"	842	4151052	20.3
	"84 years"	"84"	"Assault"	"X85-Y09"	71	4151052	1.7
	"84 years"	"84"	"Event of undetermined intent"	"Y10-Y34"	42	4151052	1.0
	"84 years"	"84"	"Complications of medical and surgical care"	"Y40-Y84"	426	4151052	10.3
	"84 years"	"84"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	76	4151052	1.8
	"85 years"	"85"	"Transport accidents"	"V01-V99"	892	Not Applicable	Not Applicable
	"85 years"	"85"	"Other external causes of accidental injury"	"W00-X59"	7784	Not Applicable	Not Applicable
	"85 years"	"85"	"Intentional self-harm"	"X60-X84"	835	Not Applicable	Not Applicable
	"85 years"	"85"	"Assault"	"X85-Y09"	85	Not Applicable	Not Applicable
	"85 years"	"85"	"Event of undetermined intent"	"Y10-Y34"	41	Not Applicable	Not Applicable
	"85 years"	"85"	"Complications of medical and surgical care"	"Y40-Y84"	446	Not Applicable	Not Applicable
	"85 years"	"85"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	84	Not Applicable	Not Applicable
	"86 years"	"86"	"Transport accidents"	"V01-V99"	776	Not Applicable	Not Applicable
	"86 years"	"86"	"Other external causes of accidental injury"	"W00-X59"	7843	Not Applicable	Not Applicable
	"86 years"	"86"	"Intentional self-harm"	"X60-X84"	774	Not Applicable	Not Applicable
	"86 years"	"86"	"Assault"	"X85-Y09"	58	Not Applicable	Not Applicable
	"86 years"	"86"	"Event of undetermined intent"	"Y10-Y34"	37	Not Applicable	Not Applicable
	"86 years"	"86"	"Complications of medical and surgical care"	"Y40-Y84"	384	Not Applicable	Not Applicable
	"86 years"	"86"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	79	Not Applicable	Not Applicable
	"87 years"	"87"	"Transport accidents"	"V01-V99"	707	Not Applicable	Not Applicable
	"87 years"	"87"	"Other external causes of accidental injury"	"W00-X59"	7985	Not Applicable	Not Applicable
	"87 years"	"87"	"Intentional self-harm"	"X60-X84"	652	Not Applicable	Not Applicable
	"87 years"	"87"	"Assault"	"X85-Y09"	61	Not Applicable	Not Applicable
	"87 years"	"87"	"Event of undetermined intent"	"Y10-Y34"	36	Not Applicable	Not Applicable
